Sub_District_PK,SubDistrict,District,State
Koduru|Krishna|Andhra Pradesh,Koduru,Krishna,Andhra Pradesh
Kruthivennu|Krishna|Andhra Pradesh,Kruthivennu,Krishna,Andhra Pradesh
Machilipatnam|Krishna|Andhra Pradesh,Machilipatnam,Krishna,Andhra Pradesh
Mopidevi|Krishna|Andhra Pradesh,Mopidevi,Krishna,Andhra Pradesh
Movva|Krishna|Andhra Pradesh,Movva,Krishna,Andhra Pradesh
Nagayalanka|Krishna|Andhra Pradesh,Nagayalanka,Krishna,Andhra Pradesh
Nandivada|Krishna|Andhra Pradesh,Nandivada,Krishna,Andhra Pradesh
Pamarru|Krishna|Andhra Pradesh,Pamarru,Krishna,Andhra Pradesh
Pamidimukkala|Krishna|Andhra Pradesh,Pamidimukkala,Krishna,Andhra Pradesh
Pedana|Krishna|Andhra Pradesh,Pedana,Krishna,Andhra Pradesh
Pedaparupudi|Krishna|Andhra Pradesh,Pedaparupudi,Krishna,Andhra Pradesh
Penamaluru|Krishna|Andhra Pradesh,Penamaluru,Krishna,Andhra Pradesh
Thotlavalluru|Krishna|Andhra Pradesh,Thotlavalluru,Krishna,Andhra Pradesh
Unguturu|Krishna|Andhra Pradesh,Unguturu,Krishna,Andhra Pradesh
Vuyyuru|Krishna|Andhra Pradesh,Vuyyuru,Krishna,Andhra Pradesh
Adoni|Kurnool|Andhra Pradesh,Adoni,Kurnool,Andhra Pradesh
Alur|Kurnool|Andhra Pradesh,Alur,Kurnool,Andhra Pradesh
Aspari|Kurnool|Andhra Pradesh,Aspari,Kurnool,Andhra Pradesh
C Belagal|Kurnool|Andhra Pradesh,C Belagal,Kurnool,Andhra Pradesh
Chippagiri|Kurnool|Andhra Pradesh,Chippagiri,Kurnool,Andhra Pradesh
Devanakonda|Kurnool|Andhra Pradesh,Devanakonda,Kurnool,Andhra Pradesh
Gonegandla|Kurnool|Andhra Pradesh,Gonegandla,Kurnool,Andhra Pradesh
Gudur|Kurnool|Andhra Pradesh,Gudur,Kurnool,Andhra Pradesh
Halaharvi|Kurnool|Andhra Pradesh,Halaharvi,Kurnool,Andhra Pradesh
Holagunda|Kurnool|Andhra Pradesh,Holagunda,Kurnool,Andhra Pradesh
Kallur|Kurnool|Andhra Pradesh,Kallur,Kurnool,Andhra Pradesh
Kodumur|Kurnool|Andhra Pradesh,Kodumur,Kurnool,Andhra Pradesh
Kosigi|Kurnool|Andhra Pradesh,Kosigi,Kurnool,Andhra Pradesh
Kowthalam|Kurnool|Andhra Pradesh,Kowthalam,Kurnool,Andhra Pradesh
Krishnagiri|Kurnool|Andhra Pradesh,Krishnagiri,Kurnool,Andhra Pradesh
Kurnool Rural|Kurnool|Andhra Pradesh,Kurnool Rural,Kurnool,Andhra Pradesh
Kurnool Urban|Kurnool|Andhra Pradesh,Kurnool Urban,Kurnool,Andhra Pradesh
Maddikera East|Kurnool|Andhra Pradesh,Maddikera East,Kurnool,Andhra Pradesh
Mantralayam|Kurnool|Andhra Pradesh,Mantralayam,Kurnool,Andhra Pradesh
Nandavaram|Kurnool|Andhra Pradesh,Nandavaram,Kurnool,Andhra Pradesh
Orvakal|Kurnool|Andhra Pradesh,Orvakal,Kurnool,Andhra Pradesh
Pattikonda|Kurnool|Andhra Pradesh,Pattikonda,Kurnool,Andhra Pradesh
Pedda Kadubur|Kurnool|Andhra Pradesh,Pedda Kadubur,Kurnool,Andhra Pradesh
Tuggali|Kurnool|Andhra Pradesh,Tuggali,Kurnool,Andhra Pradesh
Veldurthi|Kurnool|Andhra Pradesh,Veldurthi,Kurnool,Andhra Pradesh
Yemmiganur|Kurnool|Andhra Pradesh,Yemmiganur,Kurnool,Andhra Pradesh
Allagadda|Nandyal|Andhra Pradesh,Allagadda,Nandyal,Andhra Pradesh
Atmakur|Nandyal|Andhra Pradesh,Atmakur,Nandyal,Andhra Pradesh
Banaganapalle|Nandyal|Andhra Pradesh,Banaganapalle,Nandyal,Andhra Pradesh
Bandi Atmakur|Nandyal|Andhra Pradesh,Bandi Atmakur,Nandyal,Andhra Pradesh
Bethamcherla|Nandyal|Andhra Pradesh,Bethamcherla,Nandyal,Andhra Pradesh
Chagalamarri|Nandyal|Andhra Pradesh,Chagalamarri,Nandyal,Andhra Pradesh
Dhone|Nandyal|Andhra Pradesh,Dhone,Nandyal,Andhra Pradesh
Dornipadu|Nandyal|Andhra Pradesh,Dornipadu,Nandyal,Andhra Pradesh
Gadivemula|Nandyal|Andhra Pradesh,Gadivemula,Nandyal,Andhra Pradesh
Gospadu|Nandyal|Andhra Pradesh,Gospadu,Nandyal,Andhra Pradesh
Jupadu Bungalow|Nandyal|Andhra Pradesh,Jupadu Bungalow,Nandyal,Andhra Pradesh
Koilkuntla|Nandyal|Andhra Pradesh,Koilkuntla,Nandyal,Andhra Pradesh
Kolimigundla|Nandyal|Andhra Pradesh,Kolimigundla,Nandyal,Andhra Pradesh
Kothapalle|Nandyal|Andhra Pradesh,Kothapalle,Nandyal,Andhra Pradesh
Mahanandi|Nandyal|Andhra Pradesh,Mahanandi,Nandyal,Andhra Pradesh
Midthur|Nandyal|Andhra Pradesh,Midthur,Nandyal,Andhra Pradesh
Nandikotkur|Nandyal|Andhra Pradesh,Nandikotkur,Nandyal,Andhra Pradesh
Nandyal|Nandyal|Andhra Pradesh,Nandyal,Nandyal,Andhra Pradesh
Owk|Nandyal|Andhra Pradesh,Owk,Nandyal,Andhra Pradesh
Pagidyala|Nandyal|Andhra Pradesh,Pagidyala,Nandyal,Andhra Pradesh
Pamulapadu|Nandyal|Andhra Pradesh,Pamulapadu,Nandyal,Andhra Pradesh
Panyam|Nandyal|Andhra Pradesh,Panyam,Nandyal,Andhra Pradesh
Peapally|Nandyal|Andhra Pradesh,Peapally,Nandyal,Andhra Pradesh
Rudravaram|Nandyal|Andhra Pradesh,Rudravaram,Nandyal,Andhra Pradesh
Sanjamala|Nandyal|Andhra Pradesh,Sanjamala,Nandyal,Andhra Pradesh
Sirvel|Nandyal|Andhra Pradesh,Sirvel,Nandyal,Andhra Pradesh
Srisailam|Nandyal|Andhra Pradesh,Srisailam,Nandyal,Andhra Pradesh
Uyyalawada|Nandyal|Andhra Pradesh,Uyyalawada,Nandyal,Andhra Pradesh
Velgode|Nandyal|Andhra Pradesh,Velgode,Nandyal,Andhra Pradesh
A Konduru|NTR|Andhra Pradesh,A Konduru,NTR,Andhra Pradesh
Chandarlapadu|NTR|Andhra Pradesh,Chandarlapadu,NTR,Andhra Pradesh
G Konduru|NTR|Andhra Pradesh,G Konduru,NTR,Andhra Pradesh
Gampalagudem|NTR|Andhra Pradesh,Gampalagudem,NTR,Andhra Pradesh
Ibrahimpatnam|NTR|Andhra Pradesh,Ibrahimpatnam,NTR,Andhra Pradesh
Jaggayyapeta|NTR|Andhra Pradesh,Jaggayyapeta,NTR,Andhra Pradesh
Kanchikacherla|NTR|Andhra Pradesh,Kanchikacherla,NTR,Andhra Pradesh
Mylavaram|NTR|Andhra Pradesh,Mylavaram,NTR,Andhra Pradesh
Nandigama|NTR|Andhra Pradesh,Nandigama,NTR,Andhra Pradesh
Penuganchiprolu|NTR|Andhra Pradesh,Penuganchiprolu,NTR,Andhra Pradesh
Reddigudem|NTR|Andhra Pradesh,Reddigudem,NTR,Andhra Pradesh
Tiruvuru|NTR|Andhra Pradesh,Tiruvuru,NTR,Andhra Pradesh
Vatsavai|NTR|Andhra Pradesh,Vatsavai,NTR,Andhra Pradesh
Veerullapadu|NTR|Andhra Pradesh,Veerullapadu,NTR,Andhra Pradesh
Vijayawada East|NTR|Andhra Pradesh,Vijayawada East,NTR,Andhra Pradesh
Vijayawada Rural|NTR|Andhra Pradesh,Vijayawada Rural,NTR,Andhra Pradesh
Vissannapet|NTR|Andhra Pradesh,Vissannapet,NTR,Andhra Pradesh
Amaravathi|Palnadu|Andhra Pradesh,Amaravathi,Palnadu,Andhra Pradesh
Atchampet|Palnadu|Andhra Pradesh,Atchampet,Palnadu,Andhra Pradesh
Bellamkonda|Palnadu|Andhra Pradesh,Bellamkonda,Palnadu,Andhra Pradesh
Bollapalle|Palnadu|Andhra Pradesh,Bollapalle,Palnadu,Andhra Pradesh
Chilakaluripet H O Purushotha Patnam|Palnadu|Andhra Pradesh,Chilakaluripet H O Purushotha Patnam,Palnadu,Andhra Pradesh
Dachepalle|Palnadu|Andhra Pradesh,Dachepalle,Palnadu,Andhra Pradesh
Durgi|Palnadu|Andhra Pradesh,Durgi,Palnadu,Andhra Pradesh
Edlapadu|Palnadu|Andhra Pradesh,Edlapadu,Palnadu,Andhra Pradesh
Gurazala|Palnadu|Andhra Pradesh,Gurazala,Palnadu,Andhra Pradesh
Ipur|Palnadu|Andhra Pradesh,Ipur,Palnadu,Andhra Pradesh
Karempudi|Palnadu|Andhra Pradesh,Karempudi,Palnadu,Andhra Pradesh
Krosuru|Palnadu|Andhra Pradesh,Krosuru,Palnadu,Andhra Pradesh
Machavaram|Palnadu|Andhra Pradesh,Machavaram,Palnadu,Andhra Pradesh
Macherla|Palnadu|Andhra Pradesh,Macherla,Palnadu,Andhra Pradesh
Muppalla|Palnadu|Andhra Pradesh,Muppalla,Palnadu,Andhra Pradesh
Nadendla|Palnadu|Andhra Pradesh,Nadendla,Palnadu,Andhra Pradesh
Narasaraopet|Palnadu|Andhra Pradesh,Narasaraopet,Palnadu,Andhra Pradesh
Nekarikallu|Palnadu|Andhra Pradesh,Nekarikallu,Palnadu,Andhra Pradesh
Nuzendla|Palnadu|Andhra Pradesh,Nuzendla,Palnadu,Andhra Pradesh
Pedakurapadu|Palnadu|Andhra Pradesh,Pedakurapadu,Palnadu,Andhra Pradesh
Piduguralla|Palnadu|Andhra Pradesh,Piduguralla,Palnadu,Andhra Pradesh
Rajupalem|Palnadu|Andhra Pradesh,Rajupalem,Palnadu,Andhra Pradesh
Rentachintala|Palnadu|Andhra Pradesh,Rentachintala,Palnadu,Andhra Pradesh
Rompicherla|Palnadu|Andhra Pradesh,Rompicherla,Palnadu,Andhra Pradesh
Sattenapalle|Palnadu|Andhra Pradesh,Sattenapalle,Palnadu,Andhra Pradesh
Savalyapuram HO Kanamarlapudi|Palnadu|Andhra Pradesh,Savalyapuram HO Kanamarlapudi,Palnadu,Andhra Pradesh
Veldurthi|Palnadu|Andhra Pradesh,Veldurthi,Palnadu,Andhra Pradesh
Vinukonda|Palnadu|Andhra Pradesh,Vinukonda,Palnadu,Andhra Pradesh
Balijipeta|Parvathipuram Manyam|Andhra Pradesh,Balijipeta,Parvathipuram Manyam,Andhra Pradesh
Bhamini|Parvathipuram Manyam|Andhra Pradesh,Bhamini,Parvathipuram Manyam,Andhra Pradesh
Garugubilli|Parvathipuram Manyam|Andhra Pradesh,Garugubilli,Parvathipuram Manyam,Andhra Pradesh
Gummalakshmipuram|Parvathipuram Manyam|Andhra Pradesh,Gummalakshmipuram,Parvathipuram Manyam,Andhra Pradesh
Jiyyammavalasa|Parvathipuram Manyam|Andhra Pradesh,Jiyyammavalasa,Parvathipuram Manyam,Andhra Pradesh
Komarada|Parvathipuram Manyam|Andhra Pradesh,Komarada,Parvathipuram Manyam,Andhra Pradesh
Kurupam|Parvathipuram Manyam|Andhra Pradesh,Kurupam,Parvathipuram Manyam,Andhra Pradesh
Makkuva|Parvathipuram Manyam|Andhra Pradesh,Makkuva,Parvathipuram Manyam,Andhra Pradesh
Pachipenta|Parvathipuram Manyam|Andhra Pradesh,Pachipenta,Parvathipuram Manyam,Andhra Pradesh
Palakonda|Parvathipuram Manyam|Andhra Pradesh,Palakonda,Parvathipuram Manyam,Andhra Pradesh
Parvathipuram|Parvathipuram Manyam|Andhra Pradesh,Parvathipuram,Parvathipuram Manyam,Andhra Pradesh
Salur|Parvathipuram Manyam|Andhra Pradesh,Salur,Parvathipuram Manyam,Andhra Pradesh
Seethampeta|Parvathipuram Manyam|Andhra Pradesh,Seethampeta,Parvathipuram Manyam,Andhra Pradesh
Seethanagaram|Parvathipuram Manyam|Andhra Pradesh,Seethanagaram,Parvathipuram Manyam,Andhra Pradesh
Veeraghattam|Parvathipuram Manyam|Andhra Pradesh,Veeraghattam,Parvathipuram Manyam,Andhra Pradesh
Ardhaveedu|Prakasam|Andhra Pradesh,Ardhaveedu,Prakasam,Andhra Pradesh
Bestawaripeta|Prakasam|Andhra Pradesh,Bestawaripeta,Prakasam,Andhra Pradesh
Chandra Sekhara Puram|Prakasam|Andhra Pradesh,Chandra Sekhara Puram,Prakasam,Andhra Pradesh
Chimakurthi|Prakasam|Andhra Pradesh,Chimakurthi,Prakasam,Andhra Pradesh
Cumbum|Prakasam|Andhra Pradesh,Cumbum,Prakasam,Andhra Pradesh
Darsi|Prakasam|Andhra Pradesh,Darsi,Prakasam,Andhra Pradesh
Donakonda|Prakasam|Andhra Pradesh,Donakonda,Prakasam,Andhra Pradesh
Dornala|Prakasam|Andhra Pradesh,Dornala,Prakasam,Andhra Pradesh
Giddalur|Prakasam|Andhra Pradesh,Giddalur,Prakasam,Andhra Pradesh
Hanumanthuni Padu|Prakasam|Andhra Pradesh,Hanumanthuni Padu,Prakasam,Andhra Pradesh
Kanigiri|Prakasam|Andhra Pradesh,Kanigiri,Prakasam,Andhra Pradesh
Komarolu|Prakasam|Andhra Pradesh,Komarolu,Prakasam,Andhra Pradesh
Konakanamitla|Prakasam|Andhra Pradesh,Konakanamitla,Prakasam,Andhra Pradesh
Kondapi|Prakasam|Andhra Pradesh,Kondapi,Prakasam,Andhra Pradesh
Kotha Patnam|Prakasam|Andhra Pradesh,Kotha Patnam,Prakasam,Andhra Pradesh
Kurichedu|Prakasam|Andhra Pradesh,Kurichedu,Prakasam,Andhra Pradesh
Maddipadu|Prakasam|Andhra Pradesh,Maddipadu,Prakasam,Andhra Pradesh
Markapur|Prakasam|Andhra Pradesh,Markapur,Prakasam,Andhra Pradesh
Marripudi|Prakasam|Andhra Pradesh,Marripudi,Prakasam,Andhra Pradesh
Mundlamuru|Prakasam|Andhra Pradesh,Mundlamuru,Prakasam,Andhra Pradesh
Naguluppala Padu|Prakasam|Andhra Pradesh,Naguluppala Padu,Prakasam,Andhra Pradesh
Ongole|Prakasam|Andhra Pradesh,Ongole,Prakasam,Andhra Pradesh
Pamur|Prakasam|Andhra Pradesh,Pamur,Prakasam,Andhra Pradesh
Peda Araveedu|Prakasam|Andhra Pradesh,Peda Araveedu,Prakasam,Andhra Pradesh
Pedacherlo Palle|Prakasam|Andhra Pradesh,Pedacherlo Palle,Prakasam,Andhra Pradesh
Podili|Prakasam|Andhra Pradesh,Podili,Prakasam,Andhra Pradesh
Ponnaluru|Prakasam|Andhra Pradesh,Ponnaluru,Prakasam,Andhra Pradesh
Pullalacheruvu|Prakasam|Andhra Pradesh,Pullalacheruvu,Prakasam,Andhra Pradesh
Racherla|Prakasam|Andhra Pradesh,Racherla,Prakasam,Andhra Pradesh
Santhanuthala Padu|Prakasam|Andhra Pradesh,Santhanuthala Padu,Prakasam,Andhra Pradesh
Singarayakonda|Prakasam|Andhra Pradesh,Singarayakonda,Prakasam,Andhra Pradesh
Talluru|Prakasam|Andhra Pradesh,Talluru,Prakasam,Andhra Pradesh
Tangutur|Prakasam|Andhra Pradesh,Tangutur,Prakasam,Andhra Pradesh
Tarlupadu|Prakasam|Andhra Pradesh,Tarlupadu,Prakasam,Andhra Pradesh
Tripuranthakam|Prakasam|Andhra Pradesh,Tripuranthakam,Prakasam,Andhra Pradesh
Veligandla|Prakasam|Andhra Pradesh,Veligandla,Prakasam,Andhra Pradesh
Yerragondapalem|Prakasam|Andhra Pradesh,Yerragondapalem,Prakasam,Andhra Pradesh
Zarugumilli|Prakasam|Andhra Pradesh,Zarugumilli,Prakasam,Andhra Pradesh
Allur|Sri Potti Sriramulu Nellore|Andhra Pradesh,Allur,Sri Potti Sriramulu Nellore,Andhra Pradesh
Ananthasagaram|Sri Potti Sriramulu Nellore|Andhra Pradesh,Ananthasagaram,Sri Potti Sriramulu Nellore,Andhra Pradesh
Anumasamudrampeta|Sri Potti Sriramulu Nellore|Andhra Pradesh,Anumasamudrampeta,Sri Potti Sriramulu Nellore,Andhra Pradesh
Atmakur|Sri Potti Sriramulu Nellore|Andhra Pradesh,Atmakur,Sri Potti Sriramulu Nellore,Andhra Pradesh
Bogole|Sri Potti Sriramulu Nellore|Andhra Pradesh,Bogole,Sri Potti Sriramulu Nellore,Andhra Pradesh
Buchireddipalem|Sri Potti Sriramulu Nellore|Andhra Pradesh,Buchireddipalem,Sri Potti Sriramulu Nellore,Andhra Pradesh
Chejerla|Sri Potti Sriramulu Nellore|Andhra Pradesh,Chejerla,Sri Potti Sriramulu Nellore,Andhra Pradesh
Dagadarthi|Sri Potti Sriramulu Nellore|Andhra Pradesh,Dagadarthi,Sri Potti Sriramulu Nellore,Andhra Pradesh
Duttalur|Sri Potti Sriramulu Nellore|Andhra Pradesh,Duttalur,Sri Potti Sriramulu Nellore,Andhra Pradesh
Gudluru|Sri Potti Sriramulu Nellore|Andhra Pradesh,Gudluru,Sri Potti Sriramulu Nellore,Andhra Pradesh
Indukurpet|Sri Potti Sriramulu Nellore|Andhra Pradesh,Indukurpet,Sri Potti Sriramulu Nellore,Andhra Pradesh
Jaladanki|Sri Potti Sriramulu Nellore|Andhra Pradesh,Jaladanki,Sri Potti Sriramulu Nellore,Andhra Pradesh
Kaligiri|Sri Potti Sriramulu Nellore|Andhra Pradesh,Kaligiri,Sri Potti Sriramulu Nellore,Andhra Pradesh
Kaluvoya|Sri Potti Sriramulu Nellore|Andhra Pradesh,Kaluvoya,Sri Potti Sriramulu Nellore,Andhra Pradesh
Kandukur|Sri Potti Sriramulu Nellore|Andhra Pradesh,Kandukur,Sri Potti Sriramulu Nellore,Andhra Pradesh
Kavali|Sri Potti Sriramulu Nellore|Andhra Pradesh,Kavali,Sri Potti Sriramulu Nellore,Andhra Pradesh
Kodavalur|Sri Potti Sriramulu Nellore|Andhra Pradesh,Kodavalur,Sri Potti Sriramulu Nellore,Andhra Pradesh
Kondapuram|Sri Potti Sriramulu Nellore|Andhra Pradesh,Kondapuram,Sri Potti Sriramulu Nellore,Andhra Pradesh
Kovur|Sri Potti Sriramulu Nellore|Andhra Pradesh,Kovur,Sri Potti Sriramulu Nellore,Andhra Pradesh
Lingasamudram|Sri Potti Sriramulu Nellore|Andhra Pradesh,Lingasamudram,Sri Potti Sriramulu Nellore,Andhra Pradesh
Manubolu|Sri Potti Sriramulu Nellore|Andhra Pradesh,Manubolu,Sri Potti Sriramulu Nellore,Andhra Pradesh
Marripadu|Sri Potti Sriramulu Nellore|Andhra Pradesh,Marripadu,Sri Potti Sriramulu Nellore,Andhra Pradesh
Muthukur|Sri Potti Sriramulu Nellore|Andhra Pradesh,Muthukur,Sri Potti Sriramulu Nellore,Andhra Pradesh
Nellore Rural|Sri Potti Sriramulu Nellore|Andhra Pradesh,Nellore Rural,Sri Potti Sriramulu Nellore,Andhra Pradesh
Nellore Urban|Sri Potti Sriramulu Nellore|Andhra Pradesh,Nellore Urban,Sri Potti Sriramulu Nellore,Andhra Pradesh
Podalakur|Sri Potti Sriramulu Nellore|Andhra Pradesh,Podalakur,Sri Potti Sriramulu Nellore,Andhra Pradesh
Rapur|Sri Potti Sriramulu Nellore|Andhra Pradesh,Rapur,Sri Potti Sriramulu Nellore,Andhra Pradesh
Sangam|Sri Potti Sriramulu Nellore|Andhra Pradesh,Sangam,Sri Potti Sriramulu Nellore,Andhra Pradesh
Seetharamapuram|Sri Potti Sriramulu Nellore|Andhra Pradesh,Seetharamapuram,Sri Potti Sriramulu Nellore,Andhra Pradesh
Sydapuram|Sri Potti Sriramulu Nellore|Andhra Pradesh,Sydapuram,Sri Potti Sriramulu Nellore,Andhra Pradesh
Thotapalligudur|Sri Potti Sriramulu Nellore|Andhra Pradesh,Thotapalligudur,Sri Potti Sriramulu Nellore,Andhra Pradesh
Udayagiri|Sri Potti Sriramulu Nellore|Andhra Pradesh,Udayagiri,Sri Potti Sriramulu Nellore,Andhra Pradesh
Ulavapadu|Sri Potti Sriramulu Nellore|Andhra Pradesh,Ulavapadu,Sri Potti Sriramulu Nellore,Andhra Pradesh
Varikuntapadu|Sri Potti Sriramulu Nellore|Andhra Pradesh,Varikuntapadu,Sri Potti Sriramulu Nellore,Andhra Pradesh
Venkatachalam|Sri Potti Sriramulu Nellore|Andhra Pradesh,Venkatachalam,Sri Potti Sriramulu Nellore,Andhra Pradesh
Vidavalur|Sri Potti Sriramulu Nellore|Andhra Pradesh,Vidavalur,Sri Potti Sriramulu Nellore,Andhra Pradesh
Vinjamur|Sri Potti Sriramulu Nellore|Andhra Pradesh,Vinjamur,Sri Potti Sriramulu Nellore,Andhra Pradesh
Voletivaripalem|Sri Potti Sriramulu Nellore|Andhra Pradesh,Voletivaripalem,Sri Potti Sriramulu Nellore,Andhra Pradesh
Agali|Sri Sathyasai|Andhra Pradesh,Agali,Sri Sathyasai,Andhra Pradesh
Amadagur|Sri Sathyasai|Andhra Pradesh,Amadagur,Sri Sathyasai,Andhra Pradesh
Amarapuram|Sri Sathyasai|Andhra Pradesh,Amarapuram,Sri Sathyasai,Andhra Pradesh
Bathalapalle|Sri Sathyasai|Andhra Pradesh,Bathalapalle,Sri Sathyasai,Andhra Pradesh
Bukkapatnam|Sri Sathyasai|Andhra Pradesh,Bukkapatnam,Sri Sathyasai,Andhra Pradesh
Chennekothapalle|Sri Sathyasai|Andhra Pradesh,Chennekothapalle,Sri Sathyasai,Andhra Pradesh
Chilamathur|Sri Sathyasai|Andhra Pradesh,Chilamathur,Sri Sathyasai,Andhra Pradesh
Dharmavaram|Sri Sathyasai|Andhra Pradesh,Dharmavaram,Sri Sathyasai,Andhra Pradesh
Gandlapenta|Sri Sathyasai|Andhra Pradesh,Gandlapenta,Sri Sathyasai,Andhra Pradesh
Gorantla|Sri Sathyasai|Andhra Pradesh,Gorantla,Sri Sathyasai,Andhra Pradesh
Gudibanda|Sri Sathyasai|Andhra Pradesh,Gudibanda,Sri Sathyasai,Andhra Pradesh
Hindupur|Sri Sathyasai|Andhra Pradesh,Hindupur,Sri Sathyasai,Andhra Pradesh
Kadiri|Sri Sathyasai|Andhra Pradesh,Kadiri,Sri Sathyasai,Andhra Pradesh
Kanaganapalle|Sri Sathyasai|Andhra Pradesh,Kanaganapalle,Sri Sathyasai,Andhra Pradesh
Kothacheruvu|Sri Sathyasai|Andhra Pradesh,Kothacheruvu,Sri Sathyasai,Andhra Pradesh
Lepakshi|Sri Sathyasai|Andhra Pradesh,Lepakshi,Sri Sathyasai,Andhra Pradesh
Madakasira|Sri Sathyasai|Andhra Pradesh,Madakasira,Sri Sathyasai,Andhra Pradesh
Mudigubba|Sri Sathyasai|Andhra Pradesh,Mudigubba,Sri Sathyasai,Andhra Pradesh
Nallacheruvu|Sri Sathyasai|Andhra Pradesh,Nallacheruvu,Sri Sathyasai,Andhra Pradesh
Nallamada|Sri Sathyasai|Andhra Pradesh,Nallamada,Sri Sathyasai,Andhra Pradesh
Nambulipulikunta|Sri Sathyasai|Andhra Pradesh,Nambulipulikunta,Sri Sathyasai,Andhra Pradesh
Obuladevaracheruvu|Sri Sathyasai|Andhra Pradesh,Obuladevaracheruvu,Sri Sathyasai,Andhra Pradesh
Parigi|Sri Sathyasai|Andhra Pradesh,Parigi,Sri Sathyasai,Andhra Pradesh
Penukonda|Sri Sathyasai|Andhra Pradesh,Penukonda,Sri Sathyasai,Andhra Pradesh
Puttaparthi|Sri Sathyasai|Andhra Pradesh,Puttaparthi,Sri Sathyasai,Andhra Pradesh
Ramagiri|Sri Sathyasai|Andhra Pradesh,Ramagiri,Sri Sathyasai,Andhra Pradesh
Roddam|Sri Sathyasai|Andhra Pradesh,Roddam,Sri Sathyasai,Andhra Pradesh
Rolla|Sri Sathyasai|Andhra Pradesh,Rolla,Sri Sathyasai,Andhra Pradesh
Somandepalle|Sri Sathyasai|Andhra Pradesh,Somandepalle,Sri Sathyasai,Andhra Pradesh
Tadimarri|Sri Sathyasai|Andhra Pradesh,Tadimarri,Sri Sathyasai,Andhra Pradesh
Talupula|Sri Sathyasai|Andhra Pradesh,Talupula,Sri Sathyasai,Andhra Pradesh
Tanakal|Sri Sathyasai|Andhra Pradesh,Tanakal,Sri Sathyasai,Andhra Pradesh
Amadalavalasa|Srikakulam|Andhra Pradesh,Amadalavalasa,Srikakulam,Andhra Pradesh
Burja|Srikakulam|Andhra Pradesh,Burja,Srikakulam,Andhra Pradesh
Etcherla|Srikakulam|Andhra Pradesh,Etcherla,Srikakulam,Andhra Pradesh
Ganguvarisigadam|Srikakulam|Andhra Pradesh,Ganguvarisigadam,Srikakulam,Andhra Pradesh
Gara|Srikakulam|Andhra Pradesh,Gara,Srikakulam,Andhra Pradesh
Hiramandalam|Srikakulam|Andhra Pradesh,Hiramandalam,Srikakulam,Andhra Pradesh
Ichchapuram|Srikakulam|Andhra Pradesh,Ichchapuram,Srikakulam,Andhra Pradesh
Jalumuru|Srikakulam|Andhra Pradesh,Jalumuru,Srikakulam,Andhra Pradesh
Kanchili|Srikakulam|Andhra Pradesh,Kanchili,Srikakulam,Andhra Pradesh
Kaviti|Srikakulam|Andhra Pradesh,Kaviti,Srikakulam,Andhra Pradesh
Kotabommali|Srikakulam|Andhra Pradesh,Kotabommali,Srikakulam,Andhra Pradesh
Kothuru|Srikakulam|Andhra Pradesh,Kothuru,Srikakulam,Andhra Pradesh
Lakshminarsupeta|Srikakulam|Andhra Pradesh,Lakshminarsupeta,Srikakulam,Andhra Pradesh
Laveru|Srikakulam|Andhra Pradesh,Laveru,Srikakulam,Andhra Pradesh
Mandasa|Srikakulam|Andhra Pradesh,Mandasa,Srikakulam,Andhra Pradesh
Meliaputti|Srikakulam|Andhra Pradesh,Meliaputti,Srikakulam,Andhra Pradesh
Nandigam|Srikakulam|Andhra Pradesh,Nandigam,Srikakulam,Andhra Pradesh
Narasannapeta|Srikakulam|Andhra Pradesh,Narasannapeta,Srikakulam,Andhra Pradesh
Palasa|Srikakulam|Andhra Pradesh,Palasa,Srikakulam,Andhra Pradesh
Pathapatnam|Srikakulam|Andhra Pradesh,Pathapatnam,Srikakulam,Andhra Pradesh
Polaki|Srikakulam|Andhra Pradesh,Polaki,Srikakulam,Andhra Pradesh
Ponduru|Srikakulam|Andhra Pradesh,Ponduru,Srikakulam,Andhra Pradesh
Ranastalam|Srikakulam|Andhra Pradesh,Ranastalam,Srikakulam,Andhra Pradesh
Santhabommali|Srikakulam|Andhra Pradesh,Santhabommali,Srikakulam,Andhra Pradesh
Saravakota|Srikakulam|Andhra Pradesh,Saravakota,Srikakulam,Andhra Pradesh
Sarubujjili|Srikakulam|Andhra Pradesh,Sarubujjili,Srikakulam,Andhra Pradesh
Sompeta|Srikakulam|Andhra Pradesh,Sompeta,Srikakulam,Andhra Pradesh
Srikakulam|Srikakulam|Andhra Pradesh,Srikakulam,Srikakulam,Andhra Pradesh
Tekkali|Srikakulam|Andhra Pradesh,Tekkali,Srikakulam,Andhra Pradesh
Vajrapukothuru|Srikakulam|Andhra Pradesh,Vajrapukothuru,Srikakulam,Andhra Pradesh
Balayapalle|Tirupati|Andhra Pradesh,Balayapalle,Tirupati,Andhra Pradesh
Buchinaidu Kandriga|Tirupati|Andhra Pradesh,Buchinaidu Kandriga,Tirupati,Andhra Pradesh
Chandragiri|Tirupati|Andhra Pradesh,Chandragiri,Tirupati,Andhra Pradesh
Chillakur|Tirupati|Andhra Pradesh,Chillakur,Tirupati,Andhra Pradesh
Chinnagottigallu|Tirupati|Andhra Pradesh,Chinnagottigallu,Tirupati,Andhra Pradesh
Chittamur|Tirupati|Andhra Pradesh,Chittamur,Tirupati,Andhra Pradesh
